Juan Soto,693,70,50,65,80,55,70,60,75,65,50,45,35,65,181
Mike Trout,355,65,50,70,80,45,65,65,65,70,70,50,30,65,165
Alex Bregman,689,55,60,55,65,70,60,55,55,55,60,40,35,65,163
Vladimir Guerrero Jr.,705,80,60,70,70,60,80,70,80,70,45,35,35,70,163
Pete Alonso,678,55,45,65,55,50,60,70,50,65,50,30,25,35,157
Joey Gallo,696,45,35,75,80,40,40,70,45,75,35,55,40,60,148
J.T. Realmuto,521,45,55,50,55,50,50,50,45,50,45,40,40,65,148
Nolan Gorman,586,55,50,65,50,50,50,60,55,65,40,35,35,45,147
Wander Franco,683,75,65,55,40,80,75,55,75,55,55,50,50,60,146
Bo Bichette,696,75,65,60,45,60,80,60,75,60,50,35,55,75,146
Trea Turner,658,80,55,55,40,55,80,55,80,55,55,55,65,65,145
Ryan Noda,247,35,45,55,55,30,35,55,35,55,45,40,45,60,142
Gleyber Torres,681,55,50,60,55,50,60,60,55,60,60,40,40,60,141
Andrew Vaughn,686,60,70,65,60,50,65,65,60,65,50,25,35,35,140
Bobby Witt Jr.,501,60,50,60,45,50,65,60,60,60,55,50,75,75,140
Corey Seager,654,70,65,55,50,60,60,55,70,55,65,40,45,45,140
Bryce Harper,704,65,65,70,80,45,50,60,65,70,50,60,40,70,140
Max Muncy,587,45,45,70,65,40,40,65,45,70,40,40,35,40,140
Yordan Alvarez,578,75,65,65,55,50,70,60,80,65,40,40,30,40,138
Luis Urias,648,50,55,50,60,50,55,50,50,50,60,55,30,60,135
Bryan De La Cruz,658,60,45,45,45,50,65,50,55,45,55,40,45,60,135
Austin Hays,572,55,70,55,40,50,60,55,55,55,55,50,35,55,134
Shohei Ohtani,649,70,55,70,70,40,60,65,75,70,65,60,60,65,133
Kyle Schwarber,685,50,45,60,70,40,45,55,50,65,50,30,40,40,133
Freddie Freeman,644,60,55,60,60,55,50,55,65,60,35,25,30,60,132
J.D. Martinez,433,55,60,55,55,45,55,60,55,55,35,20,40,50,132
Teoscar Hernández,558,55,50,60,45,45,55,60,55,60,55,55,45,60,131
Trei Cruz,656,45,40,55,70,45,45,55,45,55,50,50,55,60,130
Alex Kirilloff,652,60,60,60,40,50,55,55,65,60,55,50,40,55,129
Adley Rutschman,514,55,45,55,55,55,55,55,55,55,45,40,30,30,129
Franmil Reyes,507,45,35,65,60,35,45,65,45,65,40,25,30,35,129
Jeimer Candelario,595,50,65,45,50,50,45,45,50,45,50,35,45,40,129
Heston Kjerstad,535,45,55,65,50,40,45,60,45,65,55,60,45,55,129
Josh Bell,610,50,45,55,60,50,55,60,50,55,30,25,30,45,129
Yasmani Grandal,530,40,40,60,70,40,40,60,40,60,45,25,35,40,128
Ronald Acuna Jr.,482,55,55,70,80,45,60,70,55,70,55,60,55,75,128
Taylor Jones,649,50,50,55,55,45,55,55,50,55,45,25,30,40,128
Dylan Carlson,566,55,70,60,60,50,55,55,60,60,55,40,55,70,128
Mookie Betts,704,60,65,55,70,65,60,60,55,55,50,50,50,60,127
Austin Meadows,637,50,60,55,55,55,45,55,50,60,55,50,40,60,127
Colson Montgomery,626,50,60,60,65,45,50,55,55,60,45,30,40,55,126
Marcus Semien,653,45,55,60,55,45,45,60,45,55,60,55,45,65,126
Anthony Rendon,523,60,60,50,60,65,60,50,60,50,50,40,40,65,126
Corbin Carroll,425,55,60,35,55,50,55,35,55,35,60,55,65,65,126
Jack Suwinski,318,40,60,55,60,35,40,50,40,55,55,45,45,55,126
Jean Segura,656,65,50,40,45,70,65,40,65,40,65,60,45,60,125
Cedric Mullins,684,55,55,55,55,55,45,50,55,55,50,65,65,75,125
Jose Ramirez,665,55,80,65,50,65,55,65,55,65,60,45,65,70,124
Giancarlo Stanton,315,50,40,65,55,40,55,70,50,65,40,50,35,60,124
Alejandro Kirk,450,45,35,45,55,65,45,45,45,45,50,25,25,30,124
Cody Bellinger,533,45,55,60,60,40,40,60,45,65,50,35,45,65,124
Josh Donaldson,615,40,45,60,70,50,45,70,40,60,55,30,35,65,123
Jesus Sanchez,679,70,60,65,55,50,65,60,70,65,50,50,40,60,123
Henry Ramos,486,55,45,45,50,55,60,50,55,45,40,30,45,65,122
Marco Luciano,519,60,40,65,55,45,60,65,55,65,60,45,50,50,122
Michael Conforto,442,55,50,50,60,45,45,50,55,50,45,40,35,60,122
Jonathan India,442,50,60,55,60,45,55,55,50,55,50,45,40,65,121
Taylor Ward,562,55,60,60,65,45,55,60,50,60,45,30,40,65,121
Jake Cronenworth,506,55,60,50,45,65,50,50,55,50,50,45,40,60,121
Austin Riley,639,60,60,65,55,40,60,65,55,65,50,40,40,40,121
Carlos Santana,249,50,30,50,65,65,55,50,50,55,35,30,35,55,121
Jose Altuve,670,60,55,55,50,65,65,55,60,55,70,65,35,55,121
Triston Casas,558,45,60,55,60,50,45,55,45,60,40,25,30,45,119
Starling Marte,588,60,60,45,45,55,60,45,60,45,55,60,65,70,119
Nick Castellanos,686,65,60,50,40,50,65,55,60,50,55,40,45,40,118
Darin Ruf,574,45,50,60,60,35,45,60,45,55,45,35,30,50,118
Nick Pratto,687,50,55,60,60,40,45,60,50,65,55,30,40,65,118
Mike Moustakas,524,45,60,50,50,50,45,50,45,50,30,25,40,40,118
Manny Machado,661,55,50,55,50,55,60,55,55,55,60,65,40,65,117
Loidel Chapellí Jr.,576,50,55,45,65,65,50,40,50,45,50,40,50,60,117
Anthony Volpe,608,45,45,55,60,45,45,55,45,55,65,55,60,70,117
Jeff McNeil,574,65,50,35,45,75,60,35,70,40,60,40,35,60,117
Willson Contreras,512,40,35,55,50,40,45,50,40,55,45,30,35,45,117
Eddie Rosario,431,55,55,55,40,60,50,50,55,55,55,45,40,65,116
Robert Hassell III,436,45,75,55,50,45,45,55,45,55,45,40,55,50,116
Kyle Stowers,329,55,60,60,70,40,50,55,55,60,50,50,40,50,116
Ty France,635,55,50,50,50,55,60,50,55,45,45,40,40,50,116
Jace Peterson,540,45,45,40,70,45,40,40,45,45,60,55,50,70,116
Matt Olson,689,55,50,65,65,45,50,60,60,65,45,25,35,35,115
Jose Iglesias,657,45,50,35,30,75,45,35,45,30,65,45,40,60,115
Enrique Hernández,551,50,50,50,50,55,55,55,50,50,65,55,45,50,114
Trey Sweeney,243,60,65,55,50,55,55,55,60,55,40,35,40,45,114
Andrew Benintendi,645,55,55,45,45,55,45,40,55,45,65,60,40,60,113
Kris Bryant,558,50,55,55,60,50,55,60,50,55,55,40,35,65,113
Orlando Arcia,484,50,45,55,50,55,50,55,50,55,55,45,40,60,113
Luis Robert,586,75,60,60,40,50,80,65,70,60,40,40,55,75,113
Brandon Nimmo,543,55,45,35,65,55,50,35,55,40,55,55,40,55,113
Xander Bogaerts,259,70,70,60,60,50,75,65,65,55,35,45,30,65,112
Rhys Hoskins,694,40,65,55,70,45,45,55,40,55,40,20,30,55,112
Bryan Reynolds,697,65,60,55,60,50,65,55,65,55,60,50,40,55,112
Garrett Callaghan,316,50,45,65,70,50,45,60,50,65,50,35,40,55,112
Spencer Torkelson,543,65,45,70,60,45,65,70,60,70,45,40,40,50,112
Brice Turang,543,55,45,35,55,65,50,35,55,35,60,45,50,65,112
Mitch Haniger,522,50,40,60,50,40,45,60,50,60,50,50,40,65,112
Kyle Tucker,548,55,65,60,55,50,55,60,60,60,50,45,50,70,112
Gavin Sheets,270,55,55,60,50,45,50,60,55,60,50,30,40,35,112
Keibert Ruiz,504,55,50,50,45,80,45,45,60,50,50,30,25,30,112
Trevor Story,691,50,60,55,60,50,55,60,50,50,50,50,60,65,112
Jorge Polanco,663,50,55,55,45,55,45,60,50,55,65,65,50,55,111
Miguel Vargas,265,60,50,50,35,60,60,55,55,50,50,35,35,75,111
Mark Canha,610,50,50,55,60,40,50,50,50,55,40,35,35,65,111
Aaron Judge,509,60,40,65,65,40,60,65,65,65,50,40,35,60,111
Jose Barrero,685,50,55,50,50,50,50,55,50,50,50,55,50,70,110
Jason Castro,399,40,40,60,60,30,35,55,40,60,45,25,25,45,110
Julio Rodriguez,624,65,80,60,50,45,70,65,65,60,55,40,75,70,110
Justin Turner,580,50,35,50,55,50,50,55,45,50,65,40,50,60,110
Yandy Díaz,577,55,50,45,60,60,55,45,55,45,60,35,40,40,110
Ramon Laureano,209,60,55,60,50,45,65,65,55,60,50,50,50,70,109
Eloy Jimenez,631,55,60,65,50,40,60,65,55,65,55,30,40,50,109
Kevin Plawecki,205,50,60,25,45,60,50,25,50,25,55,45,30,30,109
Brad Miller,585,45,50,60,60,35,40,55,45,60,65,65,45,60,109
Jorge Soler,377,40,40,60,65,40,40,60,40,60,50,45,45,55,109
LaMonte Wade Jr.,648,50,50,55,55,45,45,55,50,55,55,45,40,65,109
Nathaniel Lowe,572,50,45,60,65,45,45,55,50,60,35,25,30,30,109
Tyler Stephenson,484,55,45,45,60,55,60,50,55,45,45,35,35,40,109
Thairo Estrada,522,45,55,45,45,50,50,45,45,45,55,50,55,70,108
Oscar Colas,614,50,55,65,55,50,45,65,55,65,50,30,45,45,108
George Springer,656,40,45,55,55,50,45,60,40,55,50,50,40,55,108
Matt Chapman,577,40,55,55,50,40,40,55,40,55,45,35,45,40,108
Ketel Marte,382,75,65,55,45,65,75,55,80,55,65,55,30,65,108
Riley Greene,668,80,60,65,60,50,75,65,80,70,55,45,40,70,108
Max Kepler,624,50,50,55,60,55,45,55,50,60,55,40,40,65,107
Francisco Lindor,639,50,50,50,55,55,50,50,50,50,65,50,50,65,107
Brandon Belt,654,45,50,55,65,40,40,50,45,55,30,20,40,60,107
Javier Baez,586,55,50,60,40,45,60,65,50,60,45,55,50,65,107
Wilmer Flores,360,60,50,55,55,70,70,60,55,50,55,30,30,40,107
Nick Gonzales,508,55,60,50,50,45,60,50,55,50,50,25,45,60,107
Dustin Harris,617,65,50,45,50,60,60,45,70,45,55,35,50,70,107
Ke'Bryan Hayes,567,60,75,45,50,50,65,45,60,45,60,40,40,65,106
Paul Goldschmidt,617,55,55,50,60,50,65,55,50,50,25,35,35,70,106
Bobby Bradley,545,45,50,70,65,30,40,65,45,75,45,45,30,40,106
Akil Baddoo,255,55,55,55,70,50,50,50,55,55,50,45,55,75,106
Austin Allen,269,55,50,50,30,55,50,45,55,50,50,40,25,30,106
Kolten Wong,548,55,55,45,45,60,55,40,60,45,60,55,50,65,105
Brennen Davis,566,40,50,55,50,35,40,55,40,55,40,45,35,65,105
Ji-man Choi,273,45,45,50,70,40,40,45,45,50,50,35,35,50,105
Adam Duvall,543,40,40,65,45,35,40,65,40,65,45,40,40,60,104
Chas McCormick,255,45,40,45,45,40,45,45,40,45,55,50,45,60,104
Harrison Bader,595,50,55,55,55,45,55,60,45,55,50,65,50,60,104
Will Smith,428,40,45,60,55,50,45,60,40,60,45,45,40,60,104
Michael Harris II,570,60,60,50,50,55,55,45,60,50,60,45,60,75,104
Alex Verdugo,482,55,50,45,45,65,50,40,60,45,55,40,40,65,104
